"","serial","yap_x","yap_y","yap_z"
"1","AM1.0",647342.118822161,4185759.79911263,0
"2","AM2.0",647339.361918203,4185812.07655158,0
"3","AM3.3",647257.1915,4185920.458,0
"4","AM4.0",647255.619691598,4185832.88061018,0
"5","AM5.0",647287.404520222,4185817.77027854,0
"6","AM8.8",647288.182073268,4185868.72963239,0
"7","AM9.0",647394.962774242,4185758.43950215,0
"8","SM1.2",647353.032001647,4185709.78936537,0
"9","SM2.0",647231.121367694,4185803.99588764,0
"10","SM3.1",647293.324168921,4185760.63156223,0
"11","SM3.2",647293.485079924,4185760.40806432,0
"12","SM4.0",647204.690653698,4185817.31057258,0
"13","SM8.0",647228.8090646,4185861.65454252,0
"14","SM9.0",647228.313651474,4185933.82616128,0
